NodeId,Name,Degree,Betweenness,Eig,ClustCoeff
50390,Yonina_C._Eldar,336.000000,96959.668054,0.519756,0.014303
226,Pramod_K._Varshney,6.000000,108.071935,0.030971,0.266667
13440,Li_Deng,8.000000,36.380528,0.040907,0.642857
14990,Wei_Dai,2.000000,0.000000,0.024003,1.000000
17944,Nikos_Deligiannis,6.000000,1.272727,0.032445,0.800000
18126,Yang_Lu,2.000000,0.000000,0.024003,1.000000
21417,Yuxin_Chen,6.000000,186.366450,0.050660,0.533333
23677,Jinhui_Tang,4.000000,1.000000,0.026895,0.666667
30341,Xiao_Li,7.000000,72.325585,0.038728,0.428571
41556,Lawrence_Carin,12.000000,77.448805,0.047493,0.409091
46164,Arie_Yeredor,4.000000,0.750000,0.028060,0.666667
46205,Abbas_Khalili,4.000000,0.000000,0.031842,1.000000
46381,Ery_Arias-Castro,3.000000,0.524242,0.027445,0.666667
47499,Julien_Mairal,5.000000,1.750000,0.030110,0.600000
50291,Ewa_Matusiak,5.000000,2.500000,0.027781,0.500000
50391,Tobias_Werther,3.000000,0.000000,0.025286,1.000000
50548,Remy_Boyer,5.000000,0.666667,0.028014,0.800000
50831,Stephan_Dahlke,4.000000,0.000000,0.027797,1.000000
50832,Gitta_Kutyniok,8.000000,19.046104,0.037271,0.392857
50836,Gerd_Teschke,4.000000,0.000000,0.027797,1.000000
50984,Yilun_Chen,4.000000,0.250000,0.029493,0.833333
51480,Shahar_Mendelson,2.000000,0.000000,0.024408,1.000000
56072,Alexander_M._Bronstein,4.000000,0.333333,0.028375,0.833333
56073,Guillermo_Sapiro,19.000000,92.024073,0.055108,0.239766
58742,Theodore_S._Rappaport,6.000000,138.548046,0.033500,0.266667
59001,Lihua_Xie,3.000000,0.000000,0.025344,1.000000
59188,H._Vincent_Poor,48.000000,2608.618189,0.146270,0.154255
61260,Shlomo_Shamai_Shitz,17.000000,505.360805,0.065803,0.330882
65892,Thomas_Strohmer,9.000000,13.196825,0.035026,0.361111
69353,Ramesh_Raskar,2.000000,0.000000,0.024003,1.000000
69437,Waheed_U._Bajwa,8.000000,13.306989,0.040673,0.392857
70952,Shuguang_Cui,24.000000,1119.067119,0.095675,0.268116
71863,Alexander_M._Haimovich,15.000000,769.496098,0.056652,0.228571
74074,Reiner_S._Thoma,7.000000,53.304274,0.035156,0.714286
76363,George_C._Verghese,2.000000,0.000000,0.024003,1.000000
77310,Weiyu_Xu,8.000000,12.715854,0.040066,0.607143
77311,Myung_Cho,7.000000,4.064122,0.035320,0.666667
77450,Gideon_F._Inbar,6.000000,2.000000,0.029207,0.733333
77748,Babak_Hassibi,16.000000,407.138351,0.053590,0.233333
78051,Arye_Nehorai,6.000000,3.500000,0.030332,0.533333
78448,Alexandre_Megretski,2.000000,0.000000,0.024003,1.000000
78693,S._Shankar_Sastry,6.000000,76.941946,0.030686,0.600000
79837,Henrik_Ohlsson,5.000000,73.995853,0.028880,0.600000
79869,Georgios_B._Giannakis,11.000000,225.842509,0.040717,0.327273
79889,Oren_Solomon,16.000000,37.000000,0.043967,0.350000
81233,Arie_Feuer,9.000000,9.833333,0.034383,0.416667
86103,Ashish_Khisti,13.000000,532.778438,0.054682,0.269231
86104,Gregory_W._Wornell,6.000000,11.765992,0.036587,0.466667
86203,Elza_Erkip,21.000000,800.054870,0.092942,0.323810
86214,Ido_Nevat,3.000000,0.000000,0.026504,1.000000
86850,Giovanni_Del_Galdo,7.000000,2.500000,0.034505,0.761905
86931,Lifeng_Lai,14.000000,107.326465,0.064590,0.373626
87012,Alfred_O._Hero_III,19.000000,165.861019,0.058935,0.222222
87412,Jinhong_Yuan,5.000000,219.835815,0.028933,0.400000
87467,A._Robert_Calderbank,33.000000,1896.524144,0.112263,0.172348
87478,Shlomo_Shamai,36.000000,1566.233007,0.128828,0.242857
87606,Miguel_R._D._Rodrigues,13.000000,37.164412,0.047955,0.371795
88325,Lang_Tong,8.000000,126.110203,0.041087,0.321429
89346,Geert_Leus,13.000000,177.920412,0.054773,0.256410
89360,Ami_Wiesel,16.000000,101.883571,0.051721,0.208333
89369,Jelena_Kovacevic,9.000000,93.618205,0.041990,0.472222
89382,Yue_M._Lu,3.000000,0.500000,0.026546,0.666667
92004,Michael_Unser,3.000000,0.000000,0.025273,1.000000
101076,Emmanuel_J._Candes,13.000000,139.613252,0.043054,0.243590
106442,Chester_Sungchung_Park,3.000000,0.000000,0.025333,1.000000
109529,Daniel_Soudry,4.000000,1.000000,0.027279,0.666667
109530,Ron_Meir,7.000000,7.833333,0.030176,0.333333
109728,Shy_Shoham,3.000000,0.000000,0.025396,1.000000
122458,Jian-Feng_Cai,7.000000,4.290476,0.034875,0.619048
122973,David_Cohen,14.000000,24.266148,0.052356,0.714286
124956,Tong_Zhang_0001,7.000000,70.415245,0.030581,0.380952
125773,Jeffrey_A._Fessler,10.000000,27.016162,0.042367,0.555556
126608,Deanna_Needell,9.000000,65.577664,0.035772,0.472222
126870,Yuqian_Zhang,3.000000,0.000000,0.025697,1.000000
126871,John_Wright,10.000000,17.515873,0.036676,0.333333
126970,Jared_Tanner,6.000000,3.142100,0.031032,0.600000
136217,Mario_A._T._Figueiredo,8.000000,6.732937,0.035883,0.500000
138707,Anna_Scaglione,17.000000,576.272257,0.077726,0.338235
146331,Idit_Keidar,2.000000,0.000000,0.024249,1.000000
149180,Jose_M._Bioucas-Dias,5.000000,3.507435,0.031636,0.400000
149406,Michael_Elad,15.000000,42.446429,0.044881,0.238095
150725,Richard_G._Baraniuk,18.000000,226.337899,0.051011,0.248366
153216,Nicholas_D._Sidiropoulos,11.000000,47.007234,0.038511,0.400000
155220,Han_Liu_0001,4.000000,0.000000,0.026811,1.000000
156404,Massimo_Mischi,6.000000,0.000000,0.030435,1.000000
159282,Allen_Y._Yang,8.000000,136.892656,0.034223,0.392857
159975,Ignacio_Ramirez,3.000000,0.000000,0.026822,1.000000
162266,Marc_Teboulle,4.000000,0.333333,0.026808,0.833333
164417,Jung_Woo_Choe,7.000000,0.000000,0.032247,1.000000
164420,Amin_Nikoozadeh,8.000000,3.000000,0.033464,0.785714
166526,Ron_Dabora,10.000000,356.453017,0.060048,0.555556
168478,Andrea_J._Goldsmith,176.000000,37953.904969,0.287176,0.037662
196379,Mike_E._Davies,8.000000,8.166667,0.033249,0.392857
202225,Dan_Cohen,3.000000,0.000000,0.025802,1.000000
202293,Joel_A._Tropp,9.000000,11.560390,0.036171,0.388889
202420,Holger_Rauhut,8.000000,8.831818,0.033182,0.392857
202421,Samet_Oymak,6.000000,3.232540,0.031220,0.666667
202442,Michael_B._Wakin,11.000000,15.962013,0.040403,0.418182
202495,Arkadi_Nemirovski,3.000000,0.500000,0.025642,0.666667
214135,Marco_F._Duarte,6.000000,7.374711,0.035326,0.600000
246090,Sylvie_Marcos,4.000000,0.000000,0.026649,1.000000
258539,Patricio_S._La_Rosa,2.000000,0.000000,0.024282,1.000000
262826,Amir_Beck,9.000000,10.666667,0.034023,0.388889
263094,Aharon_Ben-Tal,4.000000,1.000000,0.026760,0.666667
264520,Boris_Murmann,6.000000,4.500000,0.028795,0.400000
265231,Eric_Rebeiz,5.000000,43.257174,0.030837,0.600000
265234,Danijela_Cabric,4.000000,0.000000,0.028617,1.000000
267051,Volker_Pohl,2.000000,0.000000,0.024379,1.000000
279097,Andrea_Goldsmith,102.000000,11348.908883,0.220944,0.070666
283987,Zhao_Tan,4.000000,0.000000,0.028067,1.000000
284707,Gonzalo_Mateos,4.000000,0.333333,0.027693,0.833333
320751,Zhihui_Zhu,4.000000,1.333333,0.027640,0.666667
327011,Luca_Barletta,5.000000,46.130152,0.034140,0.600000
327172,Tara_Javidi,12.000000,425.002033,0.064099,0.545455
328344,Maryam_Fazel,8.000000,70.774488,0.037060,0.571429
330321,Yao_Xie_0002,8.000000,133.380425,0.058629,0.571429
333816,Chuang_Wang,2.000000,0.000000,0.024115,1.000000
