#
# Preferential attachment 4, degree distribution. G(100000, 999945). 26280 (0.2628) nodes with in-deg > avg deg (20.0), 6678 (0.0668) with >2*avg.deg (Sun Nov 17 16:23:29 2019)
#
# In-degree	Count
10	16610
11	12897
12	10156
13	8155
14	6459
15	5319
16	4410
17	3776
18	3277
19	2661
20	2412
21	2100
22	1823
23	1546
24	1415
25	1262
26	1205
27	962
28	911
29	821
30	733
31	676
32	619
33	568
34	473
35	462
36	446
37	422
38	405
39	341
40	311
41	291
42	295
43	256
44	238
45	223
46	206
47	194
48	190
49	176
50	178
51	159
52	139
53	151
54	147
55	130
56	114
57	124
58	113
59	103
60	93
61	83
62	77
63	71
64	79
65	86
66	60
67	74
68	57
69	61
70	61
71	59
72	55
73	41
74	65
75	52
76	49
77	41
78	46
79	45
80	41
81	28
82	29
83	38
84	34
85	30
86	23
87	29
88	32
89	24
90	37
91	26
92	24
93	23
94	39
95	22
96	22
97	23
98	23
99	25
100	21
101	19
102	23
103	11
104	16
105	17
106	11
107	21
108	18
109	18
110	9
111	19
112	18
113	17
114	14
115	17
116	13
117	20
118	8
119	11
120	11
121	13
122	12
123	18
124	16
125	13
126	11
127	15
128	8
129	6
130	12
131	7
132	15
133	9
134	11
135	9
136	4
137	11
138	12
139	10
140	6
141	8
142	13
143	11
144	6
145	9
146	6
147	4
148	9
149	6
150	8
151	6
152	5
153	6
154	10
155	5
156	2
157	6
158	1
159	3
160	8
161	5
162	5
163	5
164	7
165	5
166	5
167	5
168	2
169	2
170	6
171	5
172	6
173	7
174	6
175	4
176	3
177	2
178	3
180	4
181	8
182	2
183	3
184	5
185	1
186	3
187	3
188	3
189	1
191	6
192	5
193	2
194	2
195	7
196	2
197	4
198	6
199	3
200	2
201	2
202	2
203	6
204	3
205	3
206	3
207	2
208	2
209	1
210	2
211	2
212	1
213	2
214	1
215	3
216	2
217	3
218	2
220	2
222	2
223	2
224	1
225	3
226	4
227	2
228	2
229	1
230	2
231	2
234	4
236	2
237	1
238	2
239	2
241	1
242	1
244	4
245	1
246	3
247	2
248	3
249	3
253	1
254	1
256	1
258	1
259	3
260	2
261	1
262	4
264	1
265	2
266	2
267	3
268	2
270	2
271	1
272	1
274	1
275	2
276	1
278	1
279	1
280	1
281	1
282	2
283	1
284	2
285	1
290	3
291	1
292	1
293	3
295	3
297	1
299	1
300	1
301	1
303	1
304	2
307	1
308	1
311	1
312	1
317	1
320	2
321	1
322	1
323	1
325	1
327	2
330	1
332	1
335	1
336	1
337	2
339	3
340	2
343	2
345	2
347	1
349	1
352	1
358	1
361	1
364	1
368	1
370	1
372	1
373	1
376	1
377	1
380	1
391	2
392	1
395	1
396	1
397	3
401	1
414	1
417	1
428	1
429	1
434	1
444	1
449	1
458	1
459	1
460	1
465	1
466	1
471	1
475	1
479	1
496	1
498	1
502	1
507	1
509	1
513	1
514	1
517	1
519	1
525	1
532	1
534	1
546	1
548	1
553	1
560	2
565	1
587	1
588	1
595	1
597	1
602	1
637	1
642	1
658	1
693	1
731	1
747	1
765	1
806	1
811	1
814	1
828	1
837	1
892	1
908	1
914	1
933	1
980	1
982	1
992	1
1058	1
1059	1
1073	1
1081	1
1149	1
1153	1
1186	1
1212	1
1244	1
1285	1
1307	1
1345	1
1605	1
1614	1
1617	1
