# Undirected graph (each unordered pair of nodes is saved once): n1.edgelist.txt
# Nodes: 100000 Edges: 145032
# NodeId	NodeId
0	1735
1	15622
2	69058
3	14115
4	39895
5	68674
5	78260
6	15049
7	431
8	92379
8	95020
9	22006
9	42654
9	55092
9	77922
10	17766
10	78059
11	46439
11	57906
12	50788
13	66842
14	81719
15	96430
16	2192
16	14099
16	14749
16	17137
16	21229
16	22009
16	28737
16	37152
16	56212
16	58509
16	68012
16	82937
17	81609
18	16902
18	83000
19	23602
19	62399
20	4485
20	26013
21	15362
21	76144
22	18069
23	17727
24	1370
24	80926
24	98753
25	36351
26	93287
26	97326
27	50946
27	94450
28	16186
29	56572
30	12411
30	34050
30	48147
30	56735
30	61857
30	67599
30	76323
30	78993
30	91861
31	49566
31	62963
32	14458
32	35818
33	23711
34	25568
34	46286
35	22999
35	25308
36	34871
36	84645
37	44656
38	41984
39	71425
40	75816
41	1233
41	1748
41	3138
41	3955
41	4093
41	4485
41	4619
41	4715
41	4990
41	5015
41	5952
41	10258
41	11241
41	12422
41	12544
41	13197
41	14016
41	15344
41	16488
41	16801
41	18326
41	19262
41	22883
41	23345
41	24922
41	25122
41	26707
41	29434
41	29894
41	30893
41	32909
41	33093
41	33110
41	33804
41	34559
41	35034
41	35822
41	36138
41	36813
41	38002
41	40081
41	40969
41	41148
41	42803
41	43600
41	44385
41	45241
41	46396
41	47025
41	47625
41	47832
41	49170
41	49609
41	54025
41	54717
41	55681
41	58615
41	59348
41	59800
41	61622
41	64086
41	64108
41	66744
41	67385
41	67520
41	70238
41	72973
41	73259
41	75320
41	76238
41	77828
41	77863
41	78236
41	79421
41	81631
41	82516
41	84738
41	86675
41	87081
41	88553
41	88687
41	89203
41	89382
41	90698
41	90700
41	91404
41	94522
41	96321
41	96597
41	96807
41	98565
41	98831
41	98854
41	98898
41	99969
42	2587
42	6008
42	21593
42	44156
43	12745
43	69563
44	57534
45	85376
46	68188
47	48598
48	4889
48	17485
49	41852
49	73098
50	27375
50	97065
51	40900
51	61077
52	61244
53	22273
54	14207
55	6203
56	41443
57	1575
57	40151
57	53941
57	78879
57	83731
58	8604
58	20815
58	53065
58	88144
59	96714
